timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9
2025-05-26 14:47:51,52.270698613261075,8.068969345971214,134,277,57.4,48.7
2025-05-26 14:47:55,52.27042542612561,8.070326503053774,97,89.2,56.5,57.0
2025-05-26 14:47:59,52.270178060486614,8.071786357740416,103,29.4,43.0,51.1
2025-05-26 14:48:03,52.27001182446739,8.073395683524389,111,50.2,34.7,44.9
2025-05-26 14:48:07,52.2697980369144,8.075276150159477,130,35.3,44.1,43.3
2025-05-26 14:48:11,52.2696292251317,8.077070208998936,123,75.5,31.7,45.2
2025-05-26 14:48:15,52.26943051475119,8.079039785296814,135,200,35.4,43.7
2025-05-26 14:48:19,52.26924301682935,8.081028578869041,136,81.4,36.8,57.2
2025-05-26 14:48:23,52.2690446487719,8.08318307652646,148,91.6,35.6,59.5
2025-05-26 14:48:27,52.26881972444985,8.085404804843758,153,28.0,125,38.1
2025-05-26 14:48:31,52.26860825506378,8.087602986860357,151,45.0,43.9,50.1
2025-05-26 14:48:35,52.26838333874675,8.089850167599757,154,31.6,31.9,122
2025-05-26 14:48:39,52.26814897092785,8.092086483868815,154,44.6,36.1,40.5
2025-05-26 14:48:43,52.26789684880005,8.094317065398114,154,79.6,31.8,61.6
2025-05-26 14:48:47,52.267657577688006,8.096575639042719,155,83.8,47.3,43.7
2025-05-26 14:48:52,52.26737240525146,8.099334163244237,190,88.3,43.1,42.7
2025-05-26 14:48:56,52.267154850010414,8.101618202840823,157,67.6,161,67.8
2025-05-26 14:49:00,52.26694915328529,8.103872971980026,155,30.3,25.5,34.3
2025-05-26 14:49:04,52.26674471952921,8.106092448290024,152,74.8,26.3,37.8
2025-05-26 14:49:08,52.26651537412901,8.108339074490857,154,36.7,44.0,37.2
2025-05-26 14:49:12,52.26635287930965,8.110584327519867,153,89.2,33.0,60.3
2025-05-26 14:49:16,52.26620707728216,8.112830695632887,153,71.4,34.7,44.5
2025-05-26 14:49:20,52.26604032614514,8.115096302991478,155,25.1,33.2,43.7
2025-05-26 14:49:24,52.26591336138606,8.117345042732575,153,42.0,41.0,47.6
2025-05-26 14:49:28,52.265796026541054,8.119644866671326,157,80.3,35.3,43.2
2025-05-26 14:49:32,52.26567808692334,8.121939380125927,156,88.0,47.5,46.9
2025-05-26 14:49:36,52.26555125494911,8.124187724997583,153,159,45.0,46.4
2025-05-26 14:49:40,52.26542599945057,8.12652834539917,159,285,84.1,58.8
2025-05-26 14:49:44,52.26530021870246,8.12874959119943,151,296,214,85.2
2025-05-26 14:49:48,52.26518661688559,8.131075209213197,158,247,81.3,118
2025-05-26 14:49:52,52.26505801102358,8.133346106778935,155,474,165,140
2025-05-26 14:49:56,52.2649315764122,8.135573065505513,152,44.4,161,53.7
2025-05-26 14:50:00,52.264806324940736,8.137826190050992,153,30.9,33.4,34.1
2025-05-26 14:50:04,52.26466695946667,8.140091781271385,154,66.7,35.0,44.0
