Messpunkt,Typ,SIM Anbieter,SIM Mobile Country Code,SIM Mobile Network Code,Netzwerk Anbieter,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Cell-ID,Physical-Cell-ID,Cell-LAC/TAC,Signalstärke (RSSI) [dBm],Signalstärke (RSRP) [dBm],Signalqualität (RSRQ) [dBm],Frequenzkanalnummer,Breitengrad,Längengrad,Genauigkeit [m],Datum,Uhrzeit,Version,Betriebssystem,Smartphone Typ,Test-ID
1,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-89,-89,-9,3350,52.2729915,8.0618381,47,10.06.25,14:01:37,2.7.0,Android 15,Google Pixel 7a,1749556880325
2,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-90,-90,-9,3350,52.2729006,8.0618498,26,10.06.25,14:01:42,2.7.0,Android 15,Google Pixel 7a,1749556880325
3,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-90,-90,-9,3350,52.2729763,8.0617701,15,10.06.25,14:02:11,2.7.0,Android 15,Google Pixel 7a,1749556880325
4,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-90,-90,-9,3350,52.2730715,8.0617452,11,10.06.25,14:02:19,2.7.0,Android 15,Google Pixel 7a,1749556880325
5,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-91,-91,-9,3350,52.2730937,8.0615861,10,10.06.25,14:03:00,2.7.0,Android 15,Google Pixel 7a,1749556880325
6,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-91,-91,-7,3350,52.2730358,8.0617058,12,10.06.25,14:06:27,2.7.0,Android 15,Google Pixel 7a,1749556880325
7,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-90,-90,-8,3350,52.2731229,8.0616594,12,10.06.25,14:06:50,2.7.0,Android 15,Google Pixel 7a,1749556880325
8,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-91,-91,-10,3350,52.2730745,8.0615314,12,10.06.25,14:07:15,2.7.0,Android 15,Google Pixel 7a,1749556880325
9,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-90,-90,-9,3350,52.2730412,8.0613816,16,10.06.25,14:07:42,2.7.0,Android 15,Google Pixel 7a,1749556880325
10,5G,o2 - de,262,07,o2 - de,262,03,10918669,295,14962,-91,-91,-9,3350,52.273131,8.0614322,20,10.06.25,14:08:44,2.7.0,Android 15,Google Pixel 7a,1749556880325
