Messpunkt,Typ,SIM Anbieter,SIM Mobile Country Code,SIM Mobile Network Code,Netzwerk Anbieter,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Cell-ID,Physical-Cell-ID,Cell-LAC/TAC,Signalstärke (RSSI) [dBm],Signalstärke (RSRP) [dBm],Signalqualität (RSRQ) [dBm],Frequenzkanalnummer,Breitengrad,Längengrad,Genauigkeit [m],Datum,Uhrzeit,Version,Betriebssystem,Smartphone Typ,Test-ID
1,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-95,-95,-9,1300,52.2738078,8.060918,36,13.06.25,14:08:44,2.7.0,Android 15,Google Pixel 7a,1749816519802
2,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-95,-95,-9,1300,52.2739259,8.0607623,40,13.06.25,14:08:46,2.7.0,Android 15,Google Pixel 7a,1749816519802
3,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-85,-85,-3,1300,52.274042,8.0601128,29,13.06.25,14:08:50,2.7.0,Android 15,Google Pixel 7a,1749816519802
4,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-85,-85,-3,1300,52.2739842,8.0599982,14,13.06.25,14:08:54,2.7.0,Android 15,Google Pixel 7a,1749816519802
5,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-9,1300,52.2738841,8.060014,7,13.06.25,14:09:14,2.7.0,Android 15,Google Pixel 7a,1749816519802
6,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-11,1300,52.2738508,8.0601763,6,13.06.25,14:09:21,2.7.0,Android 15,Google Pixel 7a,1749816519802
7,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-88,-88,-9,1300,52.2737831,8.0602818,8,13.06.25,14:09:31,2.7.0,Android 15,Google Pixel 7a,1749816519802
8,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-10,1300,52.2738579,8.0601863,19,13.06.25,14:11:42,2.7.0,Android 15,Google Pixel 7a,1749816519802
9,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-7,1300,52.2737771,8.0601152,18,13.06.25,14:11:55,2.7.0,Android 15,Google Pixel 7a,1749816519802
10,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-11,1300,52.2736969,8.0600418,16,13.06.25,14:12:17,2.7.0,Android 15,Google Pixel 7a,1749816519802
11,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-11,1300,52.2736069,8.0600446,15,13.06.25,14:12:23,2.7.0,Android 15,Google Pixel 7a,1749816519802
12,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-91,-91,-13,1300,52.273581,8.059889,15,13.06.25,14:12:47,2.7.0,Android 15,Google Pixel 7a,1749816519802
13,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-92,-92,-8,1300,52.2734895,8.0598379,15,13.06.25,14:12:55,2.7.0,Android 15,Google Pixel 7a,1749816519802
14,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-9,1300,52.2733954,8.0598025,16,13.06.25,14:13:21,2.7.0,Android 15,Google Pixel 7a,1749816519802
15,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-8,1300,52.273155,8.0587065,18,13.06.25,14:13:40,2.7.0,Android 15,Google Pixel 7a,1749816519802
16,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-8,1300,52.2730094,8.0580126,18,13.06.25,14:13:41,2.7.0,Android 15,Google Pixel 7a,1749816519802
17,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-8,1300,52.2737054,8.0577317,19,13.06.25,14:13:43,2.7.0,Android 15,Google Pixel 7a,1749816519802
18,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-8,1300,52.2741157,8.0580534,20,13.06.25,14:13:45,2.7.0,Android 15,Google Pixel 7a,1749816519802
19,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-13,1300,52.2742698,8.058277,24,13.06.25,14:13:52,2.7.0,Android 15,Google Pixel 7a,1749816519802
20,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-88,-88,-7,1300,52.2740574,8.0589695,30,13.06.25,14:14:12,2.7.0,Android 15,Google Pixel 7a,1749816519802
21,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-88,-88,-7,1300,52.2738044,8.059652,33,13.06.25,14:14:13,2.7.0,Android 15,Google Pixel 7a,1749816519802
22,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-88,-88,-7,1300,52.2735474,8.0603085,38,13.06.25,14:14:15,2.7.0,Android 15,Google Pixel 7a,1749816519802
23,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-88,-88,-7,1300,52.2740155,8.0588697,41,13.06.25,14:14:16,2.7.0,Android 15,Google Pixel 7a,1749816519802
24,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-88,-88,-7,1300,52.274248,8.0581681,35,13.06.25,14:14:18,2.7.0,Android 15,Google Pixel 7a,1749816519802
25,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-91,-91,-11,1300,52.2738938,8.0590062,33,13.06.25,14:14:25,2.7.0,Android 15,Google Pixel 7a,1749816519802
26,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-91,-91,-11,1300,52.2736368,8.0597926,36,13.06.25,14:14:26,2.7.0,Android 15,Google Pixel 7a,1749816519802
27,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-14,1300,52.2734022,8.0605416,42,13.06.25,14:14:28,2.7.0,Android 15,Google Pixel 7a,1749816519802
28,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-89,-89,-12,1300,52.2734708,8.0604143,46,13.06.25,14:14:35,2.7.0,Android 15,Google Pixel 7a,1749816519802
29,5G,freenet,262,01,Telekom.de,262,01,28516352,125,3020,-90,-90,-9,1300,52.2740343,8.0589624,45,13.06.25,14:14:48,2.7.0,Android 15,Google Pixel 7a,1749816519802
