timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9,ping_google.com,ping_uni-osnabrueck.de,ping_utwente.nl
2025-06-16 15:54:48,52.03073434480104,8.532937651832532,18,197,23.5,20.8,22.1,,33.6
2025-06-16 15:55:14,52.03075823632736,8.53270438561844,16,228,39.7,27.2,33.5,,44.5
2025-06-16 15:55:27,52.030737448454815,8.532558732968027,10,211,23.9,21.4,25.3,,41.5
2025-06-16 15:56:13,52.03068767803884,8.53243053771068,10,213,24.9,24.2,32.8,,56.2
2025-06-16 16:02:03,52.03059438118192,8.532459367750281,10,105,33.9,33.2,29.3,,52.7
2025-06-16 16:03:40,52.03054737233832,8.532842864903435,26,30.6,21.9,19.2,21.0,,38.1
2025-06-16 16:03:44,52.03134281904272,8.533008198231594,89,23.7,32.1,23.6,20.4,,33.7
2025-06-16 16:03:51,52.03137474213284,8.532741926116952,18,74.0,29.8,27.9,20.6,,36.8
2025-06-16 16:03:55,52.0313782858687,8.533089913059554,23,27.1,29.1,21.4,22.5,,35.5
2025-06-16 16:04:03,52.03127970968631,8.533077294968518,10,77.6,113,21.5,23.3,,72.1
2025-06-16 16:04:14,52.03119248166434,8.53299204774762,11,18.5,26.7,19.0,22.1,,29.7
2025-06-16 16:04:35,52.03107484578626,8.532946274013517,13,80.7,22.4,22.8,20.7,,71.8
2025-06-16 16:04:59,52.03098551249661,8.532923058531624,10,236,28.2,30.9,22.6,,111
2025-06-16 16:05:16,52.03094638991438,8.532789957559816,10,325,34.7,25.7,34.2,,72.1
2025-06-16 16:05:32,52.03092021323044,8.532638212793769,10,63.0,25.1,21.0,25.5,,36.7
2025-06-16 16:06:28,52.03085061052671,8.53252031304134,11,85.6,27.2,24.5,116,,31.3
2025-06-16 16:06:54,52.03090927740175,8.532639095079567,10,253,27.7,26.5,24.6,,53.2
2025-06-16 16:07:56,52.03097265381607,8.532753327488438,10,66.2,27.3,22.2,113,,36.0
2025-06-16 16:08:40,52.03104156193102,8.532649774379589,10,79.1,122,106,18.7,,32.0
2025-06-16 16:09:15,52.03094945389865,8.532659993851547,10,204,112,24.6,24.6,,47.2
2025-06-16 16:10:08,52.030876909146194,8.532779389903347,11,249,26.9,22.8,24.1,,69.0
2025-06-16 16:10:52,52.02959152160675,8.533238720779798,146,54.2,34.2,23.4,31.7,,43.2
2025-06-16 16:15:03,52.0296431883276,8.533116199158682,10,212,32.0,23.8,27.5,,51.3
2025-06-16 16:16:25,52.02966452450669,8.5333151605758,13,72.6,27.7,26.5,22.2,,65.9
2025-06-16 16:16:30,52.02983680726588,8.53359352856415,27,125,23.4,30.1,22.3,,76.2
2025-06-16 16:16:34,52.03008800433117,8.533944620271896,36,38.5,26.4,21.9,23.8,,30.3
2025-06-16 16:16:39,52.03051658965873,8.534466576050239,59,182,35.9,34.3,24.0,,50.1
2025-06-16 16:16:43,52.031040821742714,8.535129649500384,73,222,,590,21.8,,35.3
2025-06-16 16:16:50,52.03159991934713,8.536053844739193,88,36.4,40.2,24.4,23.0,,59.4
2025-06-16 16:16:54,52.032053367991956,8.536911436850431,77,206,33.2,23.7,30.0,,40.8
2025-06-16 16:17:00,52.03248487141934,8.537681203605304,71,201,30.4,32.7,23.8,,74.8
