Messpunkt,Typ,SIM Anbieter,SIM Mobile Country Code,SIM Mobile Network Code,Netzwerk Anbieter,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Cell-ID,Physical-Cell-ID,Cell-LAC/TAC,Signalstärke (RSSI) [dBm],Signalstärke (RSRP) [dBm],Signalqualität (RSRQ) [dBm],Frequenzkanalnummer,Breitengrad,Längengrad,Genauigkeit [m],Datum,Uhrzeit,Version,Betriebssystem,Smartphone Typ,Test-ID
1,5G,freenet,262,02,freenet,262,02,13595412,446,45191,-92,-92,-7,100,52.0296244,8.5332478,5,16.06.25,10:51:32,2.7.1,Android 15,Google Pixel 7a,1750063892575
2,5G,freenet,262,02,freenet,262,02,13595412,446,45191,-86,-86,-8,100,52.0297069,8.5333422,8,16.06.25,11:12:20,2.7.1,Android 15,Google Pixel 7a,1750063892575
3,5G,freenet,262,02,freenet,262,02,13595412,446,45191,-94,-94,-7,100,52.0299836,8.5336625,7,16.06.25,11:12:25,2.7.1,Android 15,Google Pixel 7a,1750063892575
4,4G,freenet,262,02,freenet,262,02,13595412,446,45191,-94,-94,-7,100,52.0302182,8.5339727,8,16.06.25,11:12:29,2.7.1,Android 15,Google Pixel 7a,1750063892575
5,4G,freenet,262,02,freenet,262,02,13595412,446,45191,-94,-94,-7,100,52.0304222,8.5342713,7,16.06.25,11:12:32,2.7.1,Android 15,Google Pixel 7a,1750063892575
6,4G,freenet,262,02,freenet,262,02,13595412,446,45191,-94,-94,-7,100,52.0306377,8.5345766,6,16.06.25,11:12:35,2.7.1,Android 15,Google Pixel 7a,1750063892575
7,4G,freenet,262,02,freenet,262,02,13595412,446,45191,-99,-99,-9,100,52.0310479,8.5351258,6,16.06.25,11:12:40,2.7.1,Android 15,Google Pixel 7a,1750063892575
8,4G,freenet,262,02,freenet,262,02,13595412,446,45191,-99,-99,-9,100,52.0313897,8.5356901,6,16.06.25,11:12:44,2.7.1,Android 15,Google Pixel 7a,1750063892575
9,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-95,-95,-9,100,52.0317249,8.5363132,6,16.06.25,11:12:48,2.7.1,Android 15,Google Pixel 7a,1750063892575
10,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-95,-95,-9,100,52.0321,8.5369905,5,16.06.25,11:12:52,2.7.1,Android 15,Google Pixel 7a,1750063892575
11,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-94,-94,-8,100,52.0324676,8.5377403,5,16.06.25,11:12:56,2.7.1,Android 15,Google Pixel 7a,1750063892575
12,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-94,-94,-8,100,52.0328142,8.5385193,5,16.06.25,11:13:00,2.7.1,Android 15,Google Pixel 7a,1750063892575
13,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-94,-94,-8,100,52.0330687,8.5391628,5,16.06.25,11:13:03,2.7.1,Android 15,Google Pixel 7a,1750063892575
14,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-100,-100,-8,100,52.0333082,8.5398041,5,16.06.25,11:13:06,2.7.1,Android 15,Google Pixel 7a,1750063892575
15,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-100,-100,-8,100,52.0335895,8.5406514,5,16.06.25,11:13:10,2.7.1,Android 15,Google Pixel 7a,1750063892575
16,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-100,-100,-8,100,52.033832,8.5415245,5,16.06.25,11:13:14,2.7.1,Android 15,Google Pixel 7a,1750063892575
17,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-12,100,52.0340038,8.5422021,5,16.06.25,11:13:17,2.7.1,Android 15,Google Pixel 7a,1750063892575
18,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-12,100,52.0341762,8.5428778,5,16.06.25,11:13:20,2.7.1,Android 15,Google Pixel 7a,1750063892575
19,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-12,100,52.034356,8.5435664,5,16.06.25,11:13:23,2.7.1,Android 15,Google Pixel 7a,1750063892575
20,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-11,100,52.0345333,8.5442464,5,16.06.25,11:13:26,2.7.1,Android 15,Google Pixel 7a,1750063892575
21,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-11,100,52.0347236,8.5449536,5,16.06.25,11:13:29,2.7.1,Android 15,Google Pixel 7a,1750063892575
22,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-11,100,52.0349472,8.5457092,6,16.06.25,11:13:32,2.7.1,Android 15,Google Pixel 7a,1750063892575
23,4G,freenet,262,02,freenet,262,02,12961300,201,45191,-110,-110,-11,100,52.0351907,8.5464948,6,16.06.25,11:13:35,2.7.1,Android 15,Google Pixel 7a,1750063892575
24,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-105,-105,-12,6300,52.0354811,8.5473506,6,16.06.25,11:13:38,2.7.1,Android 15,Google Pixel 7a,1750063892575
25,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-105,-105,-12,6300,52.0358073,8.5482349,5,16.06.25,11:13:41,2.7.1,Android 15,Google Pixel 7a,1750063892575
26,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-105,-105,-12,6300,52.0361895,8.5490925,6,16.06.25,11:13:44,2.7.1,Android 15,Google Pixel 7a,1750063892575
27,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-109,-109,-15,6300,52.0365814,8.5499517,7,16.06.25,11:13:47,2.7.1,Android 15,Google Pixel 7a,1750063892575
28,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-109,-109,-15,6300,52.0368768,8.5505353,7,16.06.25,11:13:49,2.7.1,Android 15,Google Pixel 7a,1750063892575
29,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-109,-109,-15,6300,52.0372029,8.5511188,7,16.06.25,11:13:51,2.7.1,Android 15,Google Pixel 7a,1750063892575
30,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-109,-109,-15,6300,52.0375779,8.5516907,7,16.06.25,11:13:53,2.7.1,Android 15,Google Pixel 7a,1750063892575
31,4G,freenet,262,02,freenet,262,02,12961282,131,45191,-109,-109,-15,6300,52.0379861,8.5522717,7,16.06.25,11:13:55,2.7.1,Android 15,Google Pixel 7a,1750063892575
32,4G,freenet,262,02,freenet,262,02,52671233,270,45191,-109,-109,-15,6300,52.0383913,8.5528405,7,16.06.25,11:13:57,2.7.1,Android 15,Google Pixel 7a,1750063892575
33,4G,freenet,262,02,freenet,262,02,52671233,270,45191,-109,-109,-15,6300,52.0388327,8.5533923,7,16.06.25,11:13:59,2.7.1,Android 15,Google Pixel 7a,1750063892575
34,4G,freenet,262,02,freenet,262,02,52671233,270,45191,-109,-109,-15,6300,52.0392664,8.5539,7,16.06.25,11:14:01,2.7.1,Android 15,Google Pixel 7a,1750063892575
35,4G,freenet,262,02,freenet,262,02,52671233,270,45191,-109,-109,-15,6300,52.0397216,8.5544255,7,16.06.25,11:14:03,2.7.1,Android 15,Google Pixel 7a,1750063892575
36,4G,freenet,262,02,freenet,262,02,52671233,270,45191,-109,-109,-15,6300,52.0402061,8.5549337,8,16.06.25,11:14:05,2.7.1,Android 15,Google Pixel 7a,1750063892575
37,4G,freenet,262,02,freenet,262,02,52671263,99,45191,-114,-114,-16,9460,52.0407053,8.5554574,8,16.06.25,11:14:07,2.7.1,Android 15,Google Pixel 7a,1750063892575
38,4G,freenet,262,02,freenet,262,02,52671263,99,45191,-114,-114,-16,9460,52.041226,8.5559924,9,16.06.25,11:14:09,2.7.1,Android 15,Google Pixel 7a,1750063892575
39,4G,freenet,262,02,freenet,262,02,52671263,99,45191,-114,-114,-16,9460,52.0417538,8.5565555,9,16.06.25,11:14:11,2.7.1,Android 15,Google Pixel 7a,1750063892575
40,4G,freenet,262,02,freenet,262,02,52671263,99,45191,-114,-114,-16,9460,52.0422875,8.557105,10,16.06.25,11:14:13,2.7.1,Android 15,Google Pixel 7a,1750063892575
41,4G,freenet,262,02,freenet,262,02,52671263,99,45191,-114,-114,-16,9460,52.0428322,8.5576942,10,16.06.25,11:14:15,2.7.1,Android 15,Google Pixel 7a,1750063892575
42,4G,freenet,262,02,freenet,262,02,13342211,457,45198,-98,-98,-10,6300,52.0433795,8.5582868,10,16.06.25,11:14:17,2.7.1,Android 15,Google Pixel 7a,1750063892575
43,4G,freenet,262,02,freenet,262,02,13342211,457,45198,-98,-98,-10,6300,52.0439557,8.5588643,9,16.06.25,11:14:19,2.7.1,Android 15,Google Pixel 7a,1750063892575
44,4G,freenet,262,02,freenet,262,02,13342211,457,45198,-98,-98,-10,6300,52.0445444,8.5594561,9,16.06.25,11:14:21,2.7.1,Android 15,Google Pixel 7a,1750063892575
45,4G,freenet,262,02,freenet,262,02,13342211,457,45198,-98,-98,-10,6300,52.0451338,8.5600488,9,16.06.25,11:14:23,2.7.1,Android 15,Google Pixel 7a,1750063892575
46,4G,freenet,262,02,freenet,262,02,13342211,457,45198,-98,-98,-10,6300,52.0457149,8.5606456,9,16.06.25,11:14:25,2.7.1,Android 15,Google Pixel 7a,1750063892575
47,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-112,-112,-11,100,52.0462858,8.561263,9,16.06.25,11:14:27,2.7.1,Android 15,Google Pixel 7a,1750063892575
48,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-112,-112,-11,100,52.0468582,8.5618869,10,16.06.25,11:14:29,2.7.1,Android 15,Google Pixel 7a,1750063892575
49,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-111,-111,-8,100,52.0474261,8.5624973,12,16.06.25,11:14:31,2.7.1,Android 15,Google Pixel 7a,1750063892575
50,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-116,-116,-8,100,52.0480014,8.563095,13,16.06.25,11:14:33,2.7.1,Android 15,Google Pixel 7a,1750063892575
51,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-117,-117,-10,100,52.0486119,8.5636857,13,16.06.25,11:14:35,2.7.1,Android 15,Google Pixel 7a,1750063892575
52,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-117,-117,-10,100,52.0492297,8.5642759,13,16.06.25,11:14:37,2.7.1,Android 15,Google Pixel 7a,1750063892575
53,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-118,-118,-8,100,52.049842,8.5648545,14,16.06.25,11:14:39,2.7.1,Android 15,Google Pixel 7a,1750063892575
54,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-120,-120,-12,100,52.0504513,8.5654972,14,16.06.25,11:14:41,2.7.1,Android 15,Google Pixel 7a,1750063892575
55,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-116,-116,-9,100,52.0510439,8.566125,14,16.06.25,11:14:43,2.7.1,Android 15,Google Pixel 7a,1750063892575
56,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-121,-121,-12,100,52.0516519,8.5667401,14,16.06.25,11:14:45,2.7.1,Android 15,Google Pixel 7a,1750063892575
57,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-120,-120,-11,100,52.0522454,8.5673449,14,16.06.25,11:14:47,2.7.1,Android 15,Google Pixel 7a,1750063892575
58,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-115,-115,-9,100,52.0528505,8.5679567,14,16.06.25,11:14:49,2.7.1,Android 15,Google Pixel 7a,1750063892575
59,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-115,-115,-9,100,52.0534477,8.5685731,14,16.06.25,11:14:51,2.7.1,Android 15,Google Pixel 7a,1750063892575
60,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-127,-127,-15,100,52.0540053,8.5691984,12,16.06.25,11:14:53,2.7.1,Android 15,Google Pixel 7a,1750063892575
61,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-104,-104,-9,100,52.0545632,8.5698198,11,16.06.25,11:14:55,2.7.1,Android 15,Google Pixel 7a,1750063892575
62,4G,freenet,262,02,freenet,262,02,12961556,439,45198,-103,-103,-11,100,52.0551351,8.5704209,8,16.06.25,11:14:57,2.7.1,Android 15,Google Pixel 7a,1750063892575
63,5G,freenet,262,02,freenet,262,02,12961556,439,45198,-103,-103,-11,100,52.0557214,8.571024,7,16.06.25,11:14:59,2.7.1,Android 15,Google Pixel 7a,1750063892575
64,4G,freenet,262,02,freenet,262,02,12961555,497,45198,-102,-102,-9,100,52.0563072,8.5716425,7,16.06.25,11:15:01,2.7.1,Android 15,Google Pixel 7a,1750063892575
65,4G,freenet,262,02,freenet,262,02,12961555,497,45198,-125,-125,-13,100,52.0568859,8.5722743,7,16.06.25,11:15:03,2.7.1,Android 15,Google Pixel 7a,1750063892575
66,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-118,-118,-19,6300,52.0574585,8.5729388,8,16.06.25,11:15:05,2.7.1,Android 15,Google Pixel 7a,1750063892575
67,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-112,-112,-14,6300,52.0580051,8.573643,8,16.06.25,11:15:07,2.7.1,Android 15,Google Pixel 7a,1750063892575
68,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-112,-112,-14,6300,52.0585147,8.5743912,9,16.06.25,11:15:09,2.7.1,Android 15,Google Pixel 7a,1750063892575
69,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-113,-113,-15,6300,52.0590288,8.5751832,9,16.06.25,11:15:11,2.7.1,Android 15,Google Pixel 7a,1750063892575
70,5G,freenet,262,02,freenet,262,02,14087683,308,45199,-112,-112,-15,6300,52.0594886,8.576032,9,16.06.25,11:15:13,2.7.1,Android 15,Google Pixel 7a,1750063892575
71,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-111,-111,-12,6300,52.0599154,8.5769128,9,16.06.25,11:15:15,2.7.1,Android 15,Google Pixel 7a,1750063892575
72,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-111,-111,-12,6300,52.0603207,8.5778417,9,16.06.25,11:15:17,2.7.1,Android 15,Google Pixel 7a,1750063892575
73,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-115,-115,-12,6300,52.0606839,8.5787942,9,16.06.25,11:15:19,2.7.1,Android 15,Google Pixel 7a,1750063892575
74,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-118,-118,-14,6300,52.0610136,8.5797518,10,16.06.25,11:15:21,2.7.1,Android 15,Google Pixel 7a,1750063892575
75,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-118,-118,-14,6300,52.0613288,8.5807156,10,16.06.25,11:15:23,2.7.1,Android 15,Google Pixel 7a,1750063892575
76,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-116,-116,-13,6300,52.0616181,8.5816758,10,16.06.25,11:15:25,2.7.1,Android 15,Google Pixel 7a,1750063892575
77,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-121,-121,-16,6300,52.0619213,8.5826112,10,16.06.25,11:15:27,2.7.1,Android 15,Google Pixel 7a,1750063892575
78,5G,freenet,262,02,freenet,262,02,13342209,219,45198,-117,-117,-14,6300,52.0622426,8.5835331,10,16.06.25,11:15:29,2.7.1,Android 15,Google Pixel 7a,1750063892575
79,5G,freenet,262,02,freenet,262,02,13342209,219,45198,-122,-122,-16,6300,52.0625682,8.5844157,10,16.06.25,11:15:31,2.7.1,Android 15,Google Pixel 7a,1750063892575
80,5G,freenet,262,02,freenet,262,02,13342209,219,45198,-122,-122,-16,6300,52.0628863,8.5853128,10,16.06.25,11:15:33,2.7.1,Android 15,Google Pixel 7a,1750063892575
81,5G,freenet,262,02,freenet,262,02,13342209,219,45198,-117,-117,-17,6300,52.0631724,8.586222,11,16.06.25,11:15:35,2.7.1,Android 15,Google Pixel 7a,1750063892575
82,5G,freenet,262,02,freenet,262,02,52671233,270,45191,-116,-116,-16,6300,52.0634732,8.5871185,11,16.06.25,11:15:37,2.7.1,Android 15,Google Pixel 7a,1750063892575
83,5G,freenet,262,02,freenet,262,02,52671233,270,45191,-116,-116,-16,6300,52.0637644,8.5879829,11,16.06.25,11:15:39,2.7.1,Android 15,Google Pixel 7a,1750063892575
84,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-112,-112,-13,6300,52.0640688,8.5888215,11,16.06.25,11:15:41,2.7.1,Android 15,Google Pixel 7a,1750063892575
85,5G,freenet,262,02,freenet,262,02,13106721,381,45198,-119,-119,-14,9460,52.0643507,8.5896166,10,16.06.25,11:15:43,2.7.1,Android 15,Google Pixel 7a,1750063892575
86,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-115,-115,-15,6300,52.0646167,8.5904177,10,16.06.25,11:15:45,2.7.1,Android 15,Google Pixel 7a,1750063892575
87,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-105,-105,-14,6300,52.064876,8.591192,10,16.06.25,11:15:47,2.7.1,Android 15,Google Pixel 7a,1750063892575
88,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-105,-105,-14,6300,52.065129,8.5919263,9,16.06.25,11:15:49,2.7.1,Android 15,Google Pixel 7a,1750063892575
89,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-108,-108,-14,6300,52.0654055,8.592653,8,16.06.25,11:15:51,2.7.1,Android 15,Google Pixel 7a,1750063892575
90,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-114,-114,-15,6300,52.0656588,8.5933683,8,16.06.25,11:15:53,2.7.1,Android 15,Google Pixel 7a,1750063892575
91,5G,freenet,262,02,freenet,262,02,13106691,84,45198,-110,-110,-13,6300,52.0658994,8.5940447,8,16.06.25,11:15:55,2.7.1,Android 15,Google Pixel 7a,1750063892575
92,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-114,-114,-15,6300,52.0661257,8.5947107,8,16.06.25,11:15:57,2.7.1,Android 15,Google Pixel 7a,1750063892575
93,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-114,-114,-15,6300,52.0663602,8.5953632,8,16.06.25,11:15:59,2.7.1,Android 15,Google Pixel 7a,1750063892575
94,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-107,-107,-14,6300,52.0666816,8.5962696,8,16.06.25,11:16:02,2.7.1,Android 15,Google Pixel 7a,1750063892575
95,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-116,-116,-14,6300,52.0669754,8.5971401,8,16.06.25,11:16:05,2.7.1,Android 15,Google Pixel 7a,1750063892575
96,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-109,-109,-12,6300,52.0671933,8.597965,8,16.06.25,11:16:08,2.7.1,Android 15,Google Pixel 7a,1750063892575
97,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-110,-110,-13,6300,52.0674069,8.5987034,9,16.06.25,11:16:11,2.7.1,Android 15,Google Pixel 7a,1750063892575
98,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-110,-110,-13,6300,52.067644,8.5994123,9,16.06.25,11:16:14,2.7.1,Android 15,Google Pixel 7a,1750063892575
99,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-107,-107,-13,6300,52.0678709,8.6000746,8,16.06.25,11:16:17,2.7.1,Android 15,Google Pixel 7a,1750063892575
100,4G,freenet,262,02,freenet,262,02,13082627,161,45198,-105,-105,-11,6300,52.0681449,8.6008923,8,16.06.25,11:16:21,2.7.1,Android 15,Google Pixel 7a,1750063892575
