timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9,ping_google.com,ping_uni-osnabrueck.de,ping_utwente.nl
2025-06-16 08:38:40,51.963566920157604,7.640547331878262,70,96.8,26.9,33.9,30.1,,45.4
2025-06-16 08:38:45,51.96422200005961,7.64128834126077,88,29.8,34.9,55.3,38.1,,72.1
2025-06-16 08:38:50,51.964750234103086,7.641886947827547,71,31.8,83.7,30.9,31.5,,60.2
2025-06-16 08:38:55,51.965370119389966,7.642560731781594,82,197,20.3,32.2,32.6,,73.0
2025-06-16 08:39:00,51.96602083606614,7.643244408635596,86,83.1,129,257,32.9,,78.8
2025-06-16 08:39:06,51.966893791818315,7.644177194595325,116,94.6,21.0,27.8,124,,57.5
2025-06-16 08:39:11,51.96775023652202,7.64512663253349,115,81.9,29.7,44.2,157,,55.3
2025-06-16 08:39:16,51.968719767905014,7.646167312259443,129,231,119,140,49.6,,45.0
2025-06-16 08:39:23,51.97018477988155,7.647765823591524,196,201,28.9,32.9,44.2,,56.1
2025-06-16 08:39:28,51.971312028070216,7.6489633231217145,149,37.6,46.5,126,123,,43.5
2025-06-16 08:39:33,51.97245873532048,7.650224267545052,154,77.0,133,37.5,34.5,,59.7
2025-06-16 08:39:38,51.97352806130654,7.651671701701848,154,78.4,20.6,47.3,151,,45.6
2025-06-16 08:39:43,51.97451648703208,7.65301786525649,143,79.6,35.5,48.9,53.3,,52.1
2025-06-16 08:39:48,51.97540625562716,7.654292536489187,131,66.3,107,125,49.5,,46.1
2025-06-16 08:39:54,51.976383605068925,7.655782094554427,149,201,140,50.2,158,,55.3
2025-06-16 08:40:00,51.97727493189408,7.657151250323402,136,206,88.1,77.3,86.0,,197
2025-06-16 08:40:06,51.97804532675176,7.658376594668959,119,169,44.5,52.0,106,,71.1
2025-06-16 08:40:11,51.97866159767481,7.659406339272291,98,318,292,30.9,57.2,,46.8
2025-06-16 08:40:17,51.979402065900715,7.660617736361857,116,198,29.0,31.6,31.9,,65.6
2025-06-16 08:40:22,51.980016501844496,7.661628085356088,97,70.9,19.3,30.9,39.6,,45.4
2025-06-16 08:40:27,51.98063655095484,7.662622750799069,96,87.7,23.4,38.1,41.8,,77.7
2025-06-16 08:40:32,51.98124436045871,7.663650953673625,97,206,54.8,65.5,62.2,,80.0
2025-06-16 08:40:37,51.98183901145903,7.664672074111474,96,91.6,63.7,46.2,74.3,,219
2025-06-16 08:40:42,51.98246623723,7.665668082558834,97,210,20.2,36.2,33.0,,46.4
2025-06-16 08:40:47,51.983150068701704,7.66674501460931,105,85.3,123,47.9,42.9,,43.0
2025-06-16 08:40:52,51.98389278708987,7.66795532977453,117,222,19.4,44.9,40.7,,62.4
2025-06-16 08:40:57,51.98475055277215,7.669352785754015,135,173,112,27.1,33.1,,55.6
2025-06-16 08:41:02,51.98567230860783,7.670805540819912,142,92.7,54.8,87.5,62.8,,
2025-06-16 08:41:08,51.98686876969842,7.672663929433079,184,200,131,84.2,82.0,,94.0
2025-06-16 08:41:14,51.98799357411291,7.674544763848908,179,87.4,158,69.1,53.3,,72.4
2025-06-16 08:41:20,51.98905566555126,7.676288200602158,167,197,97.1,65.5,84.0,,295
2025-06-16 08:41:26,51.99000434378983,7.677847464563333,150,158,57.1,90.4,75.6,,195
2025-06-16 08:41:31,51.990825058474115,7.679089906938585,124,205,67.2,386,115,,154
