Cell-ID,LAC/TAC,MCC,MNC,Lat,Lon,Accuracy,Address
36375407,552,204,16,52.27935,6.84345,1218,
2214667,33301,204,8,52.2722,6.8248,856,
15265548,33301,204,8,52.27821,6.84651,1423,
8622348,33301,204,8,52.27763,6.84093,2879,
15265568,33301,204,8,52.28051,6.85191,819,
376953,552,204,16,52.28973,6.86713,817,
376853,552,204,16,52.29055,6.86945,888,
376688,552,204,16,52.28182,6.85192,836,
15265567,33301,204,8,52.28875,6.87565,825,
376953,552,204,16,52.28973,6.86713,817,
4142715,550,204,16,52.29364,6.87814,871,
376953,552,204,16,52.28973,6.86713,817,
6710028,33303,204,8,52.28649,6.87019,4961,
6710048,33303,204,8,52.29112,6.88242,1037,
4142615,550,204,16,52.29169,6.87209,885,
4142715,550,204,16,52.29364,6.87814,871,
4142615,550,204,16,52.29169,6.87209,885,
4142419,550,204,16,52.29401,6.88071,512,
6710047,33303,204,8,52.29432,6.90022,801,
4142418,550,204,16,52.29508,6.89288,867,
4142418,550,204,16,52.29508,6.89288,867,
13069089,33303,204,8,52.29914,6.90624,1107,
4142418,550,204,16,52.29508,6.89288,867,
59253769,550,204,16,52.29849,6.909704,858,
59253769,550,204,16,52.29849,6.909704,858,
13069087,33303,204,8,52.30475,6.92315,870,
2004769,33303,204,8,52.30688,6.93298,840,
2004767,33303,204,8,52.30721,6.94681,790,
58934294,550,204,16,52.29454,6.95604,825,
59855894,550,204,16,52.29581,6.96011,846,
4270358,33303,204,8,52.30639,6.97499,848,
59855697,550,204,16,52.30745,6.98665,897,
59855717,550,204,16,52.33148,7.08088,822,
59855697,550,204,16,52.30745,6.98665,897,
59855697,550,204,16,52.30745,6.98665,897,
29134850,12003,262,1,52.218177,6.974228,838,
29134850,12003,262,1,52.218177,6.974228,838,
893778,551,204,16,52.3183,7.0406,3503,
893778,551,204,16,52.3183,7.0406,3503,
893778,551,204,16,52.3183,7.0406,3503,
32733441,12003,262,1,52.214249,7.032026,882,
32733441,12003,262,1,52.214249,7.032026,882,
32733440,12003,262,1,52.216517,7.034065,921,
32733440,12003,262,1,52.216517,7.034065,921,
32733440,12003,262,1,52.216517,7.034065,921,
42326022,3033,262,1,52.303232,7.056298,2438,
29372674,12003,262,1,52.213604,7.050875,896,
29366274,12003,262,1,52.207737,7.041209,846,
29372674,12003,262,1,52.213604,7.050875,896,
29366272,12003,262,1,52.206137,7.051205,828,
29366274,12003,262,1,52.207737,7.041209,846,
29366272,12003,262,1,52.206137,7.051205,828,
29347841,12003,262,1,52.214153,7.047165,841,
29347841,12003,262,1,52.214153,7.047165,841,
29366274,12003,262,1,52.207737,7.041209,846,
29372674,12003,262,1,52.213604,7.050875,896,
893974,551,204,16,52.31229,7.03349,866,
42326024,3033,262,1,52.3149,7.0342,2582,
893808,551,204,16,52.31524,7.04244,1119,
29372672,12003,262,1,52.20345,7.065503,856,
