Cell-ID,Cell-LAC/TAC,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Lat,Lon,Accuracy,Address
26327819,22407,204,4,52.261853,6.800644,1549,
26758155,22407,204,4,52.263365,6.796922,1314,
26327819,22407,204,4,52.261853,6.800644,1549,
26055426,22407,204,4,52.26004,6.80524,880,
26758175,22407,204,4,52.26194,6.79594,889,
26758155,22407,204,4,52.263365,6.796922,1314,
25858315,22407,204,4,52.274261,6.814144,833,
25858316,22407,204,4,52.270651,6.792386,6790,
26055437,22407,204,4,52.271158,6.80771,888,
26055435,22407,204,4,52.275824,6.833297,907,
28015617,22407,204,4,52.27226,6.82656,851,
26867458,22407,204,4,52.27628,6.83858,4125,
28015617,22407,204,4,52.27226,6.82656,851,
26867458,22407,204,4,52.27628,6.83858,4125,
27341825,22407,204,4,52.276092,6.834207,860,
26867468,22407,204,4,52.282102,6.897662,3864,
26867488,22407,204,4,52.279625,6.8457,1331,
376953,552,204,16,52.28973,6.86713,817,
26867468,22407,204,4,52.282102,6.897662,3864,
26867457,22407,204,4,52.28592,6.85802,7097,
26867467,22407,204,4,52.272437,6.828413,857,
26867487,22407,204,4,52.272657,6.828633,837,
26867467,22407,204,4,52.272437,6.828413,857,
4142715,550,204,16,52.29364,6.87814,871,
26397954,22406,204,4,52.2846,6.8613,2593,
26867457,22407,204,4,52.28592,6.85802,7097,
26397954,22406,204,4,52.2846,6.8613,2593,
26397964,22406,204,4,52.29093,6.88213,845,
4142419,550,204,16,52.29401,6.88071,512,
4142418,550,204,16,52.29508,6.89288,867,
26037525,22408,204,4,52.220572,6.898553,766,
26397953,22406,204,4,52.29584,6.89434,4931,
27730207,22406,204,4,52.294682,6.887497,904,
26397953,22406,204,4,52.29584,6.89434,4931,
27730207,22406,204,4,52.294682,6.887497,904,
26398467,22408,204,4,52.225413,6.907496,884,
26398497,22408,204,4,52.227149,6.909853,866,
26404355,22406,204,4,52.293106,6.904258,6249,
26398495,22408,204,4,52.224476,6.91091,865,
25828897,22408,204,4,52.218943,6.920556,896,
26104077,22406,204,4,52.305052,6.922119,847,
26055170,22406,204,4,52.313986,6.923572,7364,
26260256,22408,204,4,52.228122,6.90845,902,
26104097,22406,204,4,52.30654,6.92974,835,
26055170,22406,204,4,52.313986,6.923572,7364,
26055180,22406,204,4,52.314551,6.917965,875,
26873612,22406,204,4,52.306293,6.91845,893,
26104077,22406,204,4,52.305052,6.922119,847,
25828865,22408,204,4,52.212279,6.941267,5177,
26104097,22406,204,4,52.30654,6.92974,835,
26104065,22406,204,4,52.30682,6.94502,8239,
3202848,33302,204,8,52.20084,6.93354,853,
26104065,22406,204,4,52.30682,6.94502,8239,
58934294,550,204,16,52.29454,6.95604,825,
13654,3330,204,8,52.21052,7.03122,10910,
26126595,22406,204,4,52.30613,6.96473,1227,
26126595,22406,204,4,52.30613,6.96473,1227,
59855894,550,204,16,52.29581,6.96011,846,
13636,3330,204,8,52.219002,6.980434,9675,
26272257,22408,204,4,52.214844,6.985505,887,
27813919,22406,204,4,52.306979,6.982778,872,
27813919,22406,204,4,52.306979,6.982778,872,
59855717,550,204,16,52.33148,7.08088,822,
13291297,35274,262,3,52.30905,7.02475,870,
26126593,22406,204,4,52.3082,6.983576,9735,
26126593,22406,204,4,52.3082,6.983576,9735,
26496003,22406,204,4,52.313236,7.002365,7605,
26496003,22406,204,4,52.313236,7.002365,7605,
5130508,33302,204,8,52.226511,7.048452,1167,
27696160,22406,204,4,52.297669,7.018313,870,
893798,551,204,16,52.31991,7.05361,2417,
27696159,22406,204,4,52.31117,7.01667,715,
27696159,22406,204,4,52.31117,7.01667,715,
5130518,33302,204,8,52.20154,7.01984,1797,
26496001,22406,204,4,52.30869,7.03319,1719,
26496001,22406,204,4,52.30869,7.03319,1719,
894074,551,204,16,52.31323,7.04063,881,
13291297,35274,262,3,52.30905,7.02475,870,
893974,551,204,16,52.31229,7.03349,866,
13291295,35274,262,3,52.30757,7.11567,905,
13339177,35320,262,3,52.19811,7.11961,819,
13339177,35320,262,3,52.19811,7.11961,819,
893808,551,204,16,52.31524,7.04244,1119,
13291285,35274,262,3,52.31027,7.09007,859,
13291285,35274,262,3,52.31027,7.09007,859,
12893699,35320,262,3,52.19274,7.10324,934,
12893699,35320,262,3,52.19274,7.10324,934,
13339177,35320,262,3,52.19811,7.11961,819,
13291285,35274,262,3,52.31027,7.09007,859,
12893697,35320,262,3,52.20927,7.12637,3093,
12893697,35320,262,3,52.20927,7.12637,3093,
12893699,35320,262,3,52.19274,7.10324,934,
12893699,35320,262,3,52.19274,7.10324,934,
12893697,35320,262,3,52.20927,7.12637,3093,
12897303,35274,262,3,52.316287,7.067501,893,
12897303,35274,262,3,52.316287,7.067501,893,
13291295,35274,262,3,52.30757,7.11567,905,
12897301,35274,262,3,52.30678,7.12248,904,
12896536,35274,262,3,52.308,7.1321,4012,
12896536,35274,262,3,52.308,7.1321,4012,
12893698,35320,262,3,52.19455,7.11755,879,
12897301,35274,262,3,52.30678,7.12248,904,
12897301,35274,262,3,52.30678,7.12248,904,
12896536,35274,262,3,52.308,7.1321,4012,
12897301,35274,262,3,52.30678,7.12248,904,
12896536,35274,262,3,52.308,7.1321,4012,
12893698,35320,262,3,52.19455,7.11755,879,
12896533,35274,262,3,52.31038,7.15448,822,
12896533,35274,262,3,52.31038,7.15448,822,
12896563,35274,262,3,52.308126,7.161496,861,
12840215,35274,262,3,52.30987,7.15807,905,
12840213,35274,262,3,52.305123,7.184655,838,
12840213,35274,262,3,52.305123,7.184655,838,
12840213,35274,262,3,52.305123,7.184655,838,
13339907,35274,262,3,52.343687,7.191195,9844,
13339907,35274,262,3,52.343687,7.191195,9844,
13339930,35274,262,3,52.30754,7.23444,1584,
13339931,35274,262,3,52.344283,7.192065,856,
13726234,35320,262,3,52.209154,7.21256,5321,
13726210,35320,262,3,52.187003,7.232694,1109,
13726210,35320,262,3,52.187003,7.232694,1109,
13339930,35274,262,3,52.30754,7.23444,1584,
13339930,35274,262,3,52.30754,7.23444,1584,
13339907,35274,262,3,52.343687,7.191195,9844,
13339906,35274,262,3,52.314912,7.199697,2702,
13339906,35274,262,3,52.314912,7.199697,2702,
13360921,35320,262,3,52.180416,7.244743,899,
13360897,35320,262,3,52.179569,7.245922,901,
13360897,35320,262,3,52.179569,7.245922,901,
13360921,35320,262,3,52.180416,7.244743,899,
13726210,35320,262,3,52.187003,7.232694,1109,
13360897,35320,262,3,52.179569,7.245922,901,
13360897,35320,262,3,52.179569,7.245922,901,
13726234,35320,262,3,52.209154,7.21256,5321,
13012739,35274,262,3,52.170962,7.262958,891,
13726234,35320,262,3,52.209154,7.21256,5321,
12842261,35274,262,3,52.30738,7.37488,831,
12842261,35274,262,3,52.30738,7.37488,831,
12842261,35274,262,3,52.30738,7.37488,831,
12868651,35274,262,3,52.33051,7.30951,3251,
12843817,35274,262,3,52.28778,7.22398,1574,
13339929,35274,262,3,52.32663,7.25823,835,
12895786,35274,262,3,52.33779,7.25519,981,
12872727,35274,262,3,52.33806,7.31426,4855,
12895766,35274,262,3,52.33978,7.26318,1865,
12872727,35274,262,3,52.33806,7.31426,4855,
12868631,35274,262,3,52.30683,7.37433,881,
12868631,35274,262,3,52.30683,7.37433,881,
12808450,35274,262,3,52.278522,7.359634,13327,
12868631,35274,262,3,52.30683,7.37433,881,
12868651,35274,262,3,52.33051,7.30951,3251,
12868651,35274,262,3,52.33051,7.30951,3251,
12872727,35274,262,3,52.33806,7.31426,4855,
12868661,35274,262,3,52.31998,7.35658,1648,
12868671,35274,262,3,52.33398,7.33638,1808,
12868671,35274,262,3,52.33398,7.33638,1808,
13006082,35274,262,3,52.090381,7.415323,853,
13006082,35274,262,3,52.090381,7.415323,853,
13006082,35274,262,3,52.090381,7.415323,853,
12868630,35274,262,3,52.30374,7.37954,1567,
12868671,35274,262,3,52.33398,7.33638,1808,
12868661,35274,262,3,52.31998,7.35658,1648,
12868661,35274,262,3,52.31998,7.35658,1648,
13770755,35274,262,3,52.106803,7.381222,898,
14797849,35274,262,3,52.065867,7.334675,1032,
14797849,35274,262,3,52.065867,7.334675,1032,
13770779,35274,262,3,52.060433,7.357648,864,
12868650,35274,262,3,52.30686,7.37386,1123,
12868650,35274,262,3,52.30686,7.37386,1123,
12868650,35274,262,3,52.30686,7.37386,1123,
12868669,35274,262,3,52.31728,7.35868,904,
12868649,35274,262,3,52.344991,7.381526,888,
12868649,35274,262,3,52.344991,7.381526,888,
12868629,35274,262,3,52.33697,7.40197,4860,
12868630,35274,262,3,52.30374,7.37954,1567,
12887829,35274,262,3,52.296708,7.392822,888,
13354027,35274,262,3,52.24828,7.37758,849,
13221656,35274,262,3,52.29122,7.40732,900,
12887829,35274,262,3,52.296708,7.392822,888,
12887829,35274,262,3,52.296708,7.392822,888,
13221656,35274,262,3,52.29122,7.40732,900,
13025306,35274,262,3,52.046375,7.464261,3770,
13221656,35274,262,3,52.29122,7.40732,900,
13025306,35274,262,3,52.046375,7.464261,3770,
13221684,35274,262,3,52.286487,7.420505,876,
13221675,35274,262,3,52.28794,7.41564,907,
13025306,35274,262,3,52.046375,7.464261,3770,
13127989,35272,262,3,52.07613,7.62963,2002,
13127989,35272,262,3,52.07613,7.62963,2002,
13221654,35274,262,3,52.28331,7.427498,861,
13221654,35274,262,3,52.28331,7.427498,861,
13221654,35274,262,3,52.28331,7.427498,861,
12870187,35274,262,3,52.28286,7.42896,851,
12870187,35274,262,3,52.28286,7.42896,851,
13221674,35274,262,3,52.28557,7.42457,823,
13221684,35274,262,3,52.286487,7.420505,876,
13221674,35274,262,3,52.28557,7.42457,823,
13221675,35274,262,3,52.28794,7.41564,907,
14797849,35274,262,3,52.065867,7.334675,1032,
12870206,35274,262,3,52.27401,7.43771,865,
12870206,35274,262,3,52.27401,7.43771,865,
12870207,35274,262,3,52.27828,7.43358,867,
12870206,35274,262,3,52.27401,7.43771,865,
12870197,35274,262,3,52.29149,7.40789,866,
12870207,35274,262,3,52.27828,7.43358,867,
12870207,35274,262,3,52.27828,7.43358,867,
12870197,35274,262,3,52.29149,7.40789,866,
12870197,35274,262,3,52.29149,7.40789,866,
12870452,35274,262,3,52.302923,7.967009,862,
12870452,35274,262,3,52.302923,7.967009,862,
12870442,35274,262,3,52.303123,7.967209,844,
12870442,35274,262,3,52.303123,7.967209,844,
12870452,35274,262,3,52.302923,7.967009,862,
12890165,35274,262,3,52.25616,7.45576,1414,
12837684,35274,262,3,52.302733,7.966819,879,
13025561,35274,262,3,52.084172,7.514278,1572,
13025561,35274,262,3,52.084172,7.514278,1572,
13025561,35274,262,3,52.084172,7.514278,1572,
12889345,35274,262,3,52.272992,7.490245,1477,
12889345,35274,262,3,52.272992,7.490245,1477,
13284099,35274,262,3,52.221725,7.494121,904,
13076225,35272,262,3,52.057124,7.548092,4635,
13076225,35272,262,3,52.057124,7.548092,4635,
13076249,35272,262,3,52.02414,7.497238,825,
13076249,35272,262,3,52.02414,7.497238,825,
13076225,35272,262,3,52.057124,7.548092,4635,
13076249,35272,262,3,52.02414,7.497238,825,
14064898,45142,262,3,52.292034,7.530547,893,
14064898,45142,262,3,52.292034,7.530547,893,
13200151,35272,262,3,52.02476,7.59706,793,
13200171,35272,262,3,52.02918,7.60078,851,
13200171,35272,262,3,52.02918,7.60078,851,
13200151,35272,262,3,52.02476,7.59706,793,
13200151,35272,262,3,52.02476,7.59706,793,
13971459,35274,262,3,52.291845,7.568868,5630,
13187863,35272,262,3,52.013101,7.583721,870,
13187863,35272,262,3,52.013101,7.583721,870,
13187883,35272,262,3,52.014066,7.584789,863,
13187863,35272,262,3,52.013101,7.583721,870,
13200161,35272,262,3,52.02499,7.59749,894,
13187861,35272,262,3,52.015796,7.58707,868,
13187861,35272,262,3,52.015796,7.58707,868,
13971483,35274,262,3,52.28958,7.569448,1544,
13971483,35274,262,3,52.28958,7.569448,1544,
13298981,35274,262,3,52.288752,7.582056,1869,
13298981,35274,262,3,52.288752,7.582056,1869,
13200181,35272,262,3,52.032891,7.603342,878,
13200151,35272,262,3,52.02476,7.59706,793,
13187863,35272,262,3,52.013101,7.583721,870,
13971459,35274,262,3,52.291845,7.568868,5630,
13971495,35274,262,3,52.28895,7.60085,22632,
13971459,35274,262,3,52.291845,7.568868,5630,
13187891,35272,262,3,52.01557,7.59217,2575,
13187881,35272,262,3,52.01516,7.58616,500,
13187881,35272,262,3,52.01516,7.58616,500,
14786329,35272,262,3,52.0052,7.5755,2179,
13187861,35272,262,3,52.015796,7.58707,868,
13187891,35272,262,3,52.01557,7.59217,2575,
13971483,35274,262,3,52.28958,7.569448,1544,
13298969,35274,262,3,52.289004,7.570194,5481,
13298969,35274,262,3,52.289004,7.570194,5481,
13971495,35274,262,3,52.28895,7.60085,22632,
13971482,35274,262,3,52.296864,7.601787,5769,
13971494,35274,262,3,52.291223,7.561246,25057,
13971482,35274,262,3,52.296864,7.601787,5769,
